trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,8,-67.74731507820543,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-152.84789643237113,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-161.28836171439488,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-152.30975905376008,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-21.599201997278854,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,16,-25.87063045514512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-67.60732557406487,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.202768713142596,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-63.86266173614188,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,8,5.456595877484297,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-47.68270405236447,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,9,-17.511145242546267,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,-25.001412013479694,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,31.015597471157566,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-24.18071737797196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-154.68354285346396,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 4}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,7,10.108505159358714,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-43.18496036967847,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-58.79822192585202,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.0}",25,1,-74.06688909374289,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",30,0,-30.817080993688123,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-73.62475017336975,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,5.225912807832885,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-48.9493911332133,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,2.4104864933543793,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-0.44760108100785345,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-26.17342507054623,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,1.085146729756611,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,8,-1.8485638940473157,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-38.96645032722495,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
