trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.951229424500714}",20,0,-118.0854465883515,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9048374180359596}",25,0,-184.3436870460608,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.8607079764250579}",25,0,-43.54994847729361,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.8187307530779819}",20,13,13.462446975593013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.778800783071405}",25,0,-11.084625059158842,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.740818220681718}",30,2,-137.45966491633243,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 2}",1
7,False,"{'a': 0.8, 'e': 0.7046880897187136}",20,0,-28.62856638326138,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.6703200460356394}",20,14,9.085069276399372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.6376281516217734}",20,12,5.725623181019069,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.6065306597126335}",20,0,-145.5546134390474,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.5769498103804868}",30,0,-43.85928286085322,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.5488116360940265}",20,0,-57.495628243446205,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.5220457767610162}",20,0,24.7145466605435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.49658530379140964}",20,0,3.0004193801713974,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.4723665527410148}",20,0,-101.57550996757557,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.4493289641172217}",25,0,-68.88726164631842,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.42741493194872676}",20,8,9.904528823430756,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.4065696597405992}",20,0,-62.81836327842345,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.3867410234545013}",25,0,22.36803023047773,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.3678794411714424}",25,0,-34.322213335272814,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.34993774911115544}",20,5,-80.02103354596824,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 0.8, 'e': 0.33287108369807966}",30,13,9.867262354935391,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.31663676937905333}",20,0,-77.29813494961839,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.8, 'e': 0.3011942119122022}",20,0,-0.11203305895842974,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.2865047968601902}",20,0,22.739306859527776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.2725317930340127}",25,15,11.004777118550209,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.2592402606458916}",20,0,17.274125976011067,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.24659696394160657}",30,15,3.477690409184075,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.23457028809379774}",25,0,-77.22269868729083,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.2231301601484299}",20,0,-37.7431197298939,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
31,False,"{'a': 0.8, 'e': 0.21224797382674312}",25,0,-60.95131814096462,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.20189651799465547}",25,0,-104.65977119357777,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.19204990862075416}",20,0,27.32267071177923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.1826835240527347}",30,18,-8.283416881766088,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.17377394345044517}",20,14,14.378820641422932,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.1652988882215866}",20,10,-15.058874171525908,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.15723716631362766}",25,0,29.235036688179974,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.8, 'e': 0.1495686192226351}",20,0,2.7901785746522725,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.8, 'e': 0.14227407158651362}",25,17,14.527559742849999,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.13533528323661273}",25,3,13.423731655436635,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.12873490358780426}",25,0,-11.438821474615194,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
