trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.85}",20,0,-99.11571391468505,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7}",35,0,-152.99410232655902,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.5499999999999999}",30,0,-87.8955644472925,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,0,-97.6777057043716,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.24999999999999992}",30,0,-129.41939593801786,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.09999999999999992}",30,2,-72.8389847652717,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.0}",20,0,-91.79278279413072,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.0}",20,0,-46.35585386000672,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.0}",25,0,-148.01079801262236,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.0}",20,0,-137.93575233563573,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.0}",25,0,-131.73503431912218,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.0}",20,13,1.343151411389472,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.0}",20,0,-235.44365025500605,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.0}",25,0,-175.92159212428507,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.0}",25,1,-46.01340901847365,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0}",20,0,-119.7348794504452,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.0}",25,0,-100.01410271751452,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.0}",25,2,-177.6515987627553,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.0}",30,0,-146.593094657556,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0}",25,0,-133.38918065584787,"{0: 11, 1: 4, 2: 7, 3: 3, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-55.11649131574323,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-151.86497420308586,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-87.97038149446144,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-143.15548154510634,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-343.79678052243764,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 6}",0
6,True,"{'a': 0, 'e': 0}",30,0,-95.90558042842387,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,7,-43.83894373799787,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-200.32898664973735,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-90.52413256446488,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-181.92848929181588,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
